Subject,Group,Dist_Logic_Left,Dist_Logic_Right,Dist_General_Left,Dist_General_Right,Auditory_Mean,Visual_Mean
2,control,33.1059820239939,15.1391918549722,34.7731740986463,15.4042444674725,24.6056481112712,15.347660414711
5,control,34.7564855840041,12.1601348765541,33.5826521457389,15.2565205941498,23.9389483001117,15.5510332590057
11,control,34.8894817758284,23.4870151151187,35.5261931643282,22.9475538819871,29.2125609843156,21.5223871430474
12,control,25.5586141243672,11.8727142777268,29.7287724762869,16.2427091643546,20.8507025106839,20.2084627213505
13,control,36.8118899607234,17.1797878615458,40.9380269800747,14.3126983113902,27.3106007784335,21.2698906968457
15,control,41.4569298279111,17.4436417508192,34.6569105202296,16.625221051071,27.5456757875077,21.2611461403515
20,control,45.0332275628229,17.0717214547016,47.1180103830333,18.4876674338493,31.9276567086018,20.2733346972176
22,control,43.782498361953,19.8771564275516,47.3905873755869,24.6869403876616,33.9342956381883,25.0718012868358
23,control,28.0531578142059,10.1523864571073,24.0750387214383,9.66909499955857,17.9874194980775,14.2118001637291
24,control,27.3929261108478,14.6999978238741,25.3780034418166,14.646888413805,20.5294539475859,15.1831047251283
25,control,33.5789535069772,19.4163072598933,34.8581731779289,14.2098836320814,25.5158293942202,17.5631003114471
3,logician,27.1566821902821,18.1067836721996,36.7589651796288,21.7209333600176,25.935841100532,23.2165389439976
6,logician,39.0825238370805,22.4534892900758,48.5564775181545,22.0674487648189,33.0399848525324,14.6187472692026
7,logician,43.7750810710474,24.6511245047663,47.6041781500651,25.9589958762922,35.4973449005428,20.6658092729402
8,logician,24.0575467663204,8.12937714769476,29.1938611949554,12.872643376046,18.5633571212541,16.5683759582286
9,logician,28.8013806930552,16.4521598862773,38.0315703552115,17.7726630196245,25.2644434885421,14.8071739121468
10,logician,27.0001289587351,24.7647411135751,32.216044992114,25.4272400526105,27.3520387792587,20.0893798798188
14,logician,33.9893167597854,7.27111616461616,38.6547329274815,6.66948101667052,21.6461617171384,17.085763727844
16,logician,36.0722699384611,22.3329137961703,29.2634613601924,22.4008991291522,27.517386055994,15.7728311782408
18,logician,23.7800954781858,8.53827510613637,27.536116189496,9.40648977653891,17.3152441375893,17.0181420503827
19,logician,35.4969119066907,21.9594988480082,38.0966144701156,23.419572700809,29.7431494814059,20.4277425503571
21,logician,40.0807107470029,22.800560348312,47.3643075310026,27.1502493331465,34.348956989866,21.6658084604382
