subject_id,group,roi,category_id,parameter_estimate
sub-21,logicians,left_IPS,1,0.362015306949615
sub-03,logicians,left_IPS,2,8.09907627105713
sub-06,logicians,left_IPS,2,55.4999389648438
sub-07,logicians,left_IPS,2,14.7702178955078
sub-08,logicians,left_IPS,2,23.3392467498779
sub-09,logicians,left_IPS,2,14.623496055603
sub-10,logicians,left_IPS,2,12.1707696914673
sub-14,logicians,left_IPS,2,-4.63797903060913
sub-16,logicians,left_IPS,2,-12.1563997268677
sub-17,logicians,left_IPS,2,28.1438083648682
sub-18,logicians,left_IPS,2,-1.80702269077301
sub-19,logicians,left_IPS,2,2.72827196121216
sub-21,logicians,left_IPS,2,0.791743755340576
sub-03,logicians,left_IPS,3,5.18134260177612
sub-06,logicians,left_IPS,3,58.3754653930664
sub-07,logicians,left_IPS,3,8.3088264465332
sub-08,logicians,left_IPS,3,-5.75554656982422
sub-09,logicians,left_IPS,3,0.518587112426758
sub-10,logicians,left_IPS,3,5.50971221923828
sub-14,logicians,left_IPS,3,-12.0968217849731
sub-16,logicians,left_IPS,3,-10.2224903106689
sub-17,logicians,left_IPS,3,13.3070869445801
sub-18,logicians,left_IPS,3,-8.5117359161377
sub-19,logicians,left_IPS,3,10.2652654647827
sub-21,logicians,left_IPS,3,0.887263000011444
sub-03,logicians,left_IPS,4,-1.30102300643921
sub-06,logicians,left_IPS,4,37.0543632507324
sub-07,logicians,left_IPS,4,5.00054883956909
sub-08,logicians,left_IPS,4,7.12839984893799
sub-09,logicians,left_IPS,4,-18.4343318939209
sub-10,logicians,left_IPS,4,2.11125516891479
sub-14,logicians,left_IPS,4,-11.9105091094971
sub-16,logicians,left_IPS,4,-24.593620300293
sub-17,logicians,left_IPS,4,9.14202690124512
sub-18,logicians,left_IPS,4,-7.47261762619019
sub-19,logicians,left_IPS,4,-7.30053186416626
sub-21,logicians,left_IPS,4,1.01352047920227
