subject_id,group,roi,category_id,parameter_estimate
sub-10,logicians,left_MFG,4,1.5799396187067
sub-14,logicians,left_MFG,4,2.75201693363488
sub-16,logicians,left_MFG,4,9.00647139549255
sub-17,logicians,left_MFG,4,1.58277617394924
sub-18,logicians,left_MFG,4,0.450394377112389
sub-19,logicians,left_MFG,4,5.48984336853027
sub-21,logicians,left_MFG,4,0.294431358575821
sub-03,logicians,left_MFG,5,2.93332446739078
sub-06,logicians,left_MFG,5,-2.31005549430847
sub-07,logicians,left_MFG,5,2.62298929691315
sub-08,logicians,left_MFG,5,-1.42564530670643
sub-09,logicians,left_MFG,5,1.08663983270526
sub-10,logicians,left_MFG,5,0.501655757427216
sub-14,logicians,left_MFG,5,1.95535473525524
sub-16,logicians,left_MFG,5,5.86042660474777
sub-17,logicians,left_MFG,5,0.190774545073509
sub-18,logicians,left_MFG,5,0.54853231459856
sub-19,logicians,left_MFG,5,3.27746644616127
sub-21,logicians,left_MFG,5,1.38845036923885
sub-03,logicians,left_MFG,6,-0.360300958156586
sub-06,logicians,left_MFG,6,-2.05406264960766
sub-07,logicians,left_MFG,6,0.69366925675422
sub-08,logicians,left_MFG,6,-2.59031581878662
sub-09,logicians,left_MFG,6,1.08669021725655
sub-10,logicians,left_MFG,6,1.44027005136013
sub-14,logicians,left_MFG,6,0.924833569675684
sub-16,logicians,left_MFG,6,3.50087370723486
sub-17,logicians,left_MFG,6,1.27325720433146
sub-18,logicians,left_MFG,6,0.125625446438789
sub-19,logicians,left_MFG,6,0.494144022464752
sub-21,logicians,left_MFG,6,0.609816260635853
sub-01,controls,left_pITG,1,2.31902077794075
sub-02,controls,left_pITG,1,10.470653295517
sub-05,controls,left_pITG,1,-0.477657049894333
sub-11,controls,left_pITG,1,7.25920343399048
sub-12,controls,left_pITG,1,3.91093230247498
sub-13,controls,left_pITG,1,3.29328835010529
sub-15,controls,left_pITG,1,3.81116449832916
sub-20,controls,left_pITG,1,3.17499458789825
sub-22,controls,left_pITG,1,1.35878724604845
sub-23,controls,left_pITG,1,-1.11041827499866
sub-24,controls,left_pITG,1,7.50897240638733
sub-25,controls,left_pITG,1,2.19540476799011
sub-01,controls,left_pITG,2,2.80907416343689
sub-02,controls,left_pITG,2,12.2147922515869
sub-05,controls,left_pITG,2,-2.19530868530273
sub-11,controls,left_pITG,2,5.20697236061096
sub-12,controls,left_pITG,2,4.53109049797058
sub-13,controls,left_pITG,2,0.421832866966724
sub-15,controls,left_pITG,2,2.66392052173615
sub-20,controls,left_pITG,2,3.46173405647278
sub-22,controls,left_pITG,2,3.75951862335205
sub-23,controls,left_pITG,2,-2.6042445898056
sub-24,controls,left_pITG,2,7.45156025886536
sub-25,controls,left_pITG,2,0.352867469191551
sub-01,controls,left_pITG,3,-0.272758603096008
sub-02,controls,left_pITG,3,4.84840571880341
sub-05,controls,left_pITG,3,1.99082446098328
sub-11,controls,left_pITG,3,5.23055958747864
sub-12,controls,left_pITG,3,3.58589869737625
sub-13,controls,left_pITG,3,1.74408209323883
sub-15,controls,left_pITG,3,1.87060615420341
sub-20,controls,left_pITG,3,1.78442648053169
sub-22,controls,left_pITG,3,2.72969371080399
sub-23,controls,left_pITG,3,-4.00656449794769
sub-24,controls,left_pITG,3,4.41220092773438
sub-25,controls,left_pITG,3,2.39788015186787
sub-01,controls,left_pITG,4,5.03719401359558
sub-02,controls,left_pITG,4,12.5511689186096
sub-05,controls,left_pITG,4,2.63863289356232
sub-11,controls,left_pITG,4,11.3789715766907
sub-12,controls,left_pITG,4,5.87921929359436
sub-13,controls,left_pITG,4,-1.28752890229225
sub-15,controls,left_pITG,4,8.05979776382446
sub-20,controls,left_pITG,4,2.92851608991623
sub-22,controls,left_pITG,4,1.08707776665688
sub-23,controls,left_pITG,4,0.524230003356934
sub-24,controls,left_pITG,4,6.22695851325989
sub-25,controls,left_pITG,4,6.02879619598389
sub-01,controls,left_pITG,5,3.84884524345398
sub-02,controls,left_pITG,5,15.1984829902649
sub-05,controls,left_pITG,5,5.37867832183838
sub-11,controls,left_pITG,5,9.36034059524536
sub-12,controls,left_pITG,5,5.23379135131836
sub-13,controls,left_pITG,5,-0.891471177339554
sub-15,controls,left_pITG,5,8.2143189907074
sub-20,controls,left_pITG,5,3.95401501655579
sub-22,controls,left_pITG,5,0.44287520647049
sub-23,controls,left_pITG,5,0.035911500453949
sub-24,controls,left_pITG,5,7.25619125366211
sub-25,controls,left_pITG,5,6.47321105003357
sub-01,controls,left_pITG,6,0.788447931408882
sub-02,controls,left_pITG,6,9.13683319091797
sub-05,controls,left_pITG,6,3.44194781780243
sub-11,controls,left_pITG,6,0.546472907066345
sub-12,controls,left_pITG,6,3.55835890769958
sub-13,controls,left_pITG,6,-1.36609378457069
sub-15,controls,left_pITG,6,5.1897337436676
sub-20,controls,left_pITG,6,3.23688209056854
sub-22,controls,left_pITG,6,-0.672235757112503
sub-23,controls,left_pITG,6,-1.59699153900146
sub-24,controls,left_pITG,6,5.82756876945496
sub-25,controls,left_pITG,6,1.01587927341461
sub-03,logicians,left_pITG,1,6.55867195129395
sub-06,logicians,left_pITG,1,20.3733644485474
sub-07,logicians,left_pITG,1,2.51563292741776
sub-08,logicians,left_pITG,1,2.80468010902405
sub-09,logicians,left_pITG,1,6.15322494506836
sub-10,logicians,left_pITG,1,1.19289392232895
sub-14,logicians,left_pITG,1,0.320862770080566
sub-16,logicians,left_pITG,1,4.5939621925354
sub-17,logicians,left_pITG,1,7.98800778388977
sub-18,logicians,left_pITG,1,0.196227192878723
sub-19,logicians,left_pITG,1,6.7000937461853
sub-21,logicians,left_pITG,1,11.4077484607697
sub-03,logicians,left_pITG,2,8.29893684387207
sub-06,logicians,left_pITG,2,17.6304025650024
sub-07,logicians,left_pITG,2,3.93308532238007
sub-08,logicians,left_pITG,2,2.76899373531342
sub-09,logicians,left_pITG,2,7.11852598190308
